dataset,horizon,seed,model,mse_norm,mae_norm,baseline_mse_norm,delta_mse_vs_srsnet_pct,baseline_mae_norm,delta_mae_vs_srsnet_pct
ETTh1,96,2021,SRSNet,0.4360,0.4531,0.4360,+0.00,0.4531,+0.00
ETTh1,96,2022,SRSNet,0.4359,0.4523,0.4359,+0.00,0.4523,+0.00
ETTh1,96,2023,SRSNet,0.4364,0.4534,0.4364,+0.00,0.4534,+0.00
ETTh1,96,2024,SRSNet,0.4365,0.4535,0.4365,+0.00,0.4535,+0.00
ETTh1,96,2025,SRSNet,0.4350,0.4531,0.4350,+0.00,0.4531,+0.00
ETTh1,720,2021,SRSNet,0.6577,0.6025,0.6577,+0.00,0.6025,+0.00
ETTh1,720,2022,SRSNet,0.6621,0.6065,0.6621,+0.00,0.6065,+0.00
ETTh1,720,2023,SRSNet,0.6582,0.6033,0.6582,+0.00,0.6033,+0.00
ETTh1,720,2024,SRSNet,0.6643,0.6065,0.6643,+0.00,0.6065,+0.00
ETTh1,720,2025,SRSNet,0.6598,0.6039,0.6598,+0.00,0.6039,+0.00
ETTm2,96,2021,SRSNet,0.1464,0.2515,0.1464,+0.00,0.2515,+0.00
ETTm2,96,2022,SRSNet,0.1483,0.2525,0.1483,+0.00,0.2525,+0.00
ETTm2,96,2023,SRSNet,0.1477,0.2530,0.1477,+0.00,0.2530,+0.00
ETTm2,96,2024,SRSNet,0.1487,0.2538,0.1487,+0.00,0.2538,+0.00
ETTm2,96,2025,SRSNet,0.1494,0.2539,0.1494,+0.00,0.2539,+0.00
ETTm2,720,2021,SRSNet,0.2673,0.3441,0.2673,+0.00,0.3441,+0.00
ETTm2,720,2022,SRSNet,0.2631,0.3436,0.2631,+0.00,0.3436,+0.00
ETTm2,720,2023,SRSNet,0.2702,0.3494,0.2702,+0.00,0.3494,+0.00
ETTm2,720,2024,SRSNet,0.2780,0.3544,0.2780,+0.00,0.3544,+0.00
ETTm2,720,2025,SRSNet,0.2752,0.3489,0.2752,+0.00,0.3489,+0.00
ETTh1,96,2021,SRSNet_HypernetAF,0.4357,0.4531,0.4360,-0.07,0.4531,+0.01
ETTh1,96,2022,SRSNet_HypernetAF,0.4363,0.4529,0.4359,+0.09,0.4523,+0.14
ETTh1,96,2023,SRSNet_HypernetAF,0.4367,0.4540,0.4364,+0.08,0.4534,+0.12
ETTh1,96,2024,SRSNet_HypernetAF,0.4361,0.4530,0.4365,-0.09,0.4535,-0.11
ETTh1,96,2025,SRSNet_HypernetAF,0.4358,0.4526,0.4350,+0.19,0.4531,-0.12
ETTh1,720,2021,SRSNet_HypernetAF,0.6645,0.6078,0.6577,+1.04,0.6025,+0.88
ETTh1,720,2022,SRSNet_HypernetAF,0.6632,0.6044,0.6621,+0.15,0.6065,-0.35
ETTh1,720,2023,SRSNet_HypernetAF,0.6619,0.6062,0.6582,+0.55,0.6033,+0.49
ETTh1,720,2024,SRSNet_HypernetAF,0.6611,0.6043,0.6643,-0.48,0.6065,-0.36
ETTh1,720,2025,SRSNet_HypernetAF,0.6597,0.6042,0.6598,-0.03,0.6039,+0.04
ETTm2,96,2021,SRSNet_HypernetAF,0.1479,0.2523,0.1464,+0.98,0.2515,+0.33
ETTm2,96,2022,SRSNet_HypernetAF,0.1475,0.2522,0.1483,-0.55,0.2525,-0.10
ETTm2,96,2023,SRSNet_HypernetAF,0.1475,0.2521,0.1477,-0.14,0.2530,-0.36
ETTm2,96,2024,SRSNet_HypernetAF,0.1478,0.2527,0.1487,-0.60,0.2538,-0.43
ETTm2,96,2025,SRSNet_HypernetAF,0.1476,0.2522,0.1494,-1.20,0.2539,-0.68
ETTm2,720,2021,SRSNet_HypernetAF,0.2698,0.3460,0.2673,+0.96,0.3441,+0.57
ETTm2,720,2022,SRSNet_HypernetAF,0.2731,0.3469,0.2631,+3.80,0.3436,+0.97
ETTm2,720,2023,SRSNet_HypernetAF,0.2675,0.3426,0.2702,-1.00,0.3494,-1.96
ETTm2,720,2024,SRSNet_HypernetAF,0.2670,0.3417,0.2780,-3.98,0.3544,-3.58
ETTm2,720,2025,SRSNet_HypernetAF,0.2710,0.3451,0.2752,-1.53,0.3489,-1.10
ETTh1,96,2021,SRSNet_PSRS,0.4354,0.4528,0.4360,-0.13,0.4531,-0.07
ETTh1,96,2022,SRSNet_PSRS,0.4355,0.4527,0.4359,-0.08,0.4523,+0.09
ETTh1,96,2023,SRSNet_PSRS,0.4359,0.4531,0.4364,-0.11,0.4534,-0.08
ETTh1,96,2024,SRSNet_PSRS,0.4364,0.4532,0.4365,-0.02,0.4535,-0.07
