model,dataset,horizon,ours_MSE,ours_MAE,paper_MSE,paper_MAE,delta_MSE_pct,delta_MAE_pct
PatchTST,ETTh1,96,0.4186,0.4460,0.377,0.397,+11.04,+12.35
PatchTST,ETTh1,192,0.4613,0.4791,0.409,0.425,+12.79,+12.72
PatchTST,ETTh1,336,0.5338,0.5265,0.431,0.444,+23.84,+18.58
PatchTST,ETTh1,720,0.6691,0.6173,0.457,0.477,+46.42,+29.42
PatchTST,ETTh2,96,0.2403,0.3397,0.274,0.337,-12.32,+0.80
PatchTST,ETTh2,192,0.2765,0.3585,0.348,0.384,-20.54,-6.64
PatchTST,ETTh2,336,0.3180,0.3869,0.377,0.416,-15.64,-7.00
PatchTST,ETTh2,720,0.3880,0.4283,0.406,0.441,-4.44,-2.87
PatchTST,ETTm1,96,0.3234,0.3801,0.289,0.343,+11.91,+10.82
PatchTST,ETTm1,192,0.3794,0.4157,0.329,0.368,+15.33,+12.98
PatchTST,ETTm1,336,0.4199,0.4417,0.362,0.390,+15.98,+13.25
PatchTST,ETTm1,720,0.4769,0.4829,0.416,0.423,+14.64,+14.16
PatchTST,ETTm2,96,0.1475,0.2545,0.165,0.255,-10.58,-0.20
PatchTST,ETTm2,192,0.1874,0.2898,0.221,0.293,-15.19,-1.10
PatchTST,ETTm2,336,0.2137,0.3065,0.276,0.327,-22.56,-6.27
PatchTST,ETTm2,720,0.2735,0.3490,0.362,0.381,-24.44,-8.39
DLinear,ETTh1,96,,,0.379,0.403,,
DLinear,ETTh1,192,,,0.427,0.435,,
DLinear,ETTh1,336,,,0.440,0.440,,
DLinear,ETTh1,720,,,0.473,0.494,,
DLinear,ETTh2,96,0.2158,0.3153,0.300,0.364,-28.07,-13.39
DLinear,ETTh2,192,0.2771,0.3647,0.387,0.423,-28.40,-13.79
DLinear,ETTh2,336,0.3118,0.3938,0.490,0.487,-36.38,-19.13
DLinear,ETTh2,720,0.4482,0.4810,0.704,0.597,-36.33,-19.43
DLinear,ETTm1,96,0.3372,0.3730,0.300,0.345,+12.41,+8.12
DLinear,ETTm1,192,0.3900,0.4045,0.336,0.366,+16.08,+10.52
DLinear,ETTm1,336,0.4242,0.4330,0.367,0.386,+15.57,+12.18
DLinear,ETTm1,720,0.4729,0.4708,0.419,0.416,+12.87,+13.16
DLinear,ETTm2,96,0.1494,0.2551,0.164,0.255,-8.92,+0.04
DLinear,ETTm2,192,0.1836,0.2844,0.224,0.304,-18.05,-6.46
DLinear,ETTm2,336,0.2223,0.3142,0.277,0.337,-19.74,-6.75
DLinear,ETTm2,720,0.2766,0.3567,0.371,0.401,-25.45,-11.04
iTransformer,ETTh1,96,,,0.386,0.405,,
iTransformer,ETTh1,192,,,0.430,0.435,,
iTransformer,ETTh1,336,,,0.450,0.452,,
iTransformer,ETTh1,720,,,0.495,0.487,,
iTransformer,ETTh2,96,0.2453,0.3323,0.292,0.347,-16.00,-4.24
iTransformer,ETTh2,192,0.2866,0.3701,0.348,0.384,-17.66,-3.62
iTransformer,ETTh2,336,0.3216,0.3900,0.372,0.407,-13.54,-4.18
iTransformer,ETTh2,720,0.4260,0.4439,0.424,0.444,+0.48,-0.03
iTransformer,ETTm1,96,0.3434,0.3866,0.287,0.342,+19.65,+13.03
iTransformer,ETTm1,192,0.4010,0.4255,0.331,0.371,+21.15,+14.69
iTransformer,ETTm1,336,0.4456,0.4497,0.358,0.384,+24.46,+17.12
iTransformer,ETTm1,720,0.4901,0.4883,0.412,0.416,+18.95,+17.39
iTransformer,ETTm2,96,0.1617,0.2690,0.168,0.262,-3.73,+2.66
iTransformer,ETTm2,192,0.2046,0.3026,0.224,0.295,-8.67,+2.56
iTransformer,ETTm2,336,0.2311,0.3212,0.274,0.330,-15.65,-2.66
iTransformer,ETTm2,720,0.2937,0.3636,0.367,0.385,-19.98,-5.57
TimesNet,ETTh1,96,,,0.389,0.412,,
TimesNet,ETTh1,192,,,0.440,0.443,,
TimesNet,ETTh1,336,,,0.523,0.487,,
TimesNet,ETTh1,720,,,0.521,0.495,,
TimesNet,ETTh2,96,0.2588,0.3434,0.334,0.370,-22.52,-7.18
TimesNet,ETTh2,192,0.3113,0.3768,0.404,0.413,-22.94,-8.76
TimesNet,ETTh2,336,0.3874,0.4239,0.389,0.435,-0.42,-2.56
TimesNet,ETTh2,720,0.4048,0.4370,0.434,0.448,-6.72,-2.45
TimesNet,ETTm1,96,0.4538,0.4510,0.340,0.378,+33.48,+19.33
TimesNet,ETTm1,192,0.4930,0.4706,0.392,0.404,+25.76,+16.48
TimesNet,ETTm1,336,0.5507,0.5080,0.423,0.426,+30.18,+19.25
TimesNet,ETTm1,720,0.6110,0.5452,0.475,0.453,+28.64,+20.36
TimesNet,ETTm2,96,0.1689,0.2694,0.189,0.265,-10.65,+1.67
TimesNet,ETTm2,192,0.2039,0.2980,0.254,0.310,-19.74,-3.86
TimesNet,ETTm2,336,0.2540,0.3309,0.313,0.345,-18.84,-4.08
TimesNet,ETTm2,720,0.3269,0.3764,0.413,0.402,-20.85,-6.36
TimeMixer,ETTh1,96,,,0.372,0.401,,
TimeMixer,ETTh1,192,,,0.413,0.430,,
TimeMixer,ETTh1,336,,,0.438,0.450,,
TimeMixer,ETTh1,720,,,0.483,0.483,,
TimeMixer,ETTh2,96,0.2477,0.3450,0.270,0.342,-8.26,+0.88
TimeMixer,ETTh2,192,0.2761,0.3594,0.349,0.387,-20.88,-7.13
TimeMixer,ETTh2,336,0.3383,0.4029,0.367,0.410,-7.83,-1.73
TimeMixer,ETTh2,720,0.4153,0.4411,0.401,0.436,+3.57,+1.17
TimeMixer,ETTm1,96,0.3267,0.3724,0.293,0.345,+11.49,+7.96
TimeMixer,ETTm1,192,0.3898,0.4124,0.335,0.372,+16.37,+10.87
TimeMixer,ETTm1,336,0.4372,0.4415,0.368,0.386,+18.79,+14.38
