dataset,horizon,SRSNet_MSE,SRSNet_MAE,PatchTST_MSE,PatchTST_MAE,DLinear_MSE,DLinear_MAE,iTransformer_MSE,iTransformer_MAE,TimesNet_MSE,TimesNet_MAE,TimeMixer_MSE,TimeMixer_MAE,xPatch_MSE,xPatch_MAE,PatchMLP_MSE,PatchMLP_MAE
ETTh1,96,0.4360,0.4530,0.4186,0.4460,,,,,,,,,,,0.4406,0.4459
ETTh1,192,0.4814,0.4851,0.4613,0.4791,,,,,,,,,,,0.4925,0.4988
ETTh1,336,0.5289,0.5177,0.5338,0.5265,,,,,,,,,,,0.5688,0.5500
ETTh1,720,0.6577,0.6025,0.6691,0.6173,,,,,,,,,,,0.7002,0.6357
ETTh2,96,0.2276,0.3236,0.2403,0.3397,0.2158,0.3153,0.2453,0.3323,0.2588,0.3434,0.2477,0.3450,,,,
ETTh2,192,0.2817,0.3609,0.2765,0.3585,0.2771,0.3647,0.2866,0.3701,0.3113,0.3768,0.2761,0.3594,,,,
ETTh2,336,0.3168,0.3850,0.3180,0.3869,0.3118,0.3938,0.3216,0.3900,0.3874,0.4239,0.3383,0.4029,,,,
ETTh2,720,0.4253,0.4477,0.3880,0.4283,0.4482,0.4810,0.4260,0.4439,0.4048,0.4370,0.4153,0.4411,,,,
ETTm1,96,0.3174,0.3699,0.3234,0.3801,0.3372,0.3730,0.3434,0.3866,0.4538,0.4510,0.3267,0.3724,,,,
ETTm1,192,0.3688,0.4051,0.3794,0.4157,0.3900,0.4045,0.4010,0.4255,0.4930,0.4706,0.3898,0.4124,,,,
ETTm1,336,0.4183,0.4439,0.4199,0.4417,0.4242,0.4330,0.4456,0.4497,0.5507,0.5080,0.4372,0.4415,,,,
ETTm1,720,0.5057,0.4846,0.4769,0.4829,0.4729,0.4708,0.4901,0.4883,0.6110,0.5452,0.4845,0.4791,,,,
ETTm2,96,0.1483,0.2526,0.1475,0.2545,0.1494,0.2551,0.1617,0.2690,0.1689,0.2694,0.1507,0.2564,,,0.1542,0.2573
ETTm2,192,0.1820,0.2815,0.1874,0.2898,0.1836,0.2844,0.2046,0.3026,0.2039,0.2980,0.1868,0.2882,,,0.1914,0.2915
ETTm2,336,0.2143,0.3093,0.2137,0.3065,0.2223,0.3142,0.2311,0.3212,0.2540,0.3309,0.2279,0.3177,,,0.2384,0.3275
ETTm2,720,0.2749,0.3534,0.2735,0.3490,0.2766,0.3567,0.2937,0.3636,0.3269,0.3764,0.2788,0.3583,,,0.2952,0.3690
AVERAGE,,0.3616,0.4047,0.3580,0.4064,0.3091,0.3705,0.3209,0.3786,0.3687,0.4026,0.3133,0.3729,,,0.3852,0.4219
