dataset,horizon,ours_MSE,ours_MAE,paper_MSE,paper_MAE,delta_MSE_pct,delta_MAE_pct
ETTh1,96,0.4371,0.4539,0.366,0.394,+19.43,+15.21
ETTh1,192,0.4868,0.4903,0.400,0.415,+21.71,+18.13
ETTh1,336,0.5288,0.5175,0.424,0.430,+24.71,+20.36
ETTh1,720,0.6577,0.6025,0.426,0.455,+54.38,+32.42
ETTh2,96,0.2240,0.3187,0.271,0.338,-17.34,-5.72
ETTh2,192,0.2761,0.3581,0.335,0.379,-17.57,-5.51
ETTh2,336,0.3272,0.3915,0.323,0.381,+1.29,+2.76
ETTh2,720,0.4295,0.4478,0.399,0.441,+7.64,+1.55
ETTm1,96,0.3199,0.3710,0.288,0.341,+11.07,+8.81
ETTm1,192,0.3715,0.4061,0.329,0.367,+12.93,+10.66
ETTm1,336,0.4190,0.4437,0.365,0.387,+14.80,+14.65
ETTm1,720,0.5055,0.4841,0.421,0.418,+20.07,+15.80
ETTm2,96,0.1486,0.2534,0.164,0.254,-9.39,-0.25
ETTm2,192,0.1827,0.2847,0.220,0.291,-16.95,-2.16
ETTm2,336,0.2207,0.3099,0.273,0.327,-19.14,-5.24
ETTm2,720,0.2720,0.3507,0.350,0.383,-22.29,-8.43
AVERAGE,,0.3629,0.4052,0.335,0.375,+8.46,+8.05
