task_id,table,dataset,horizon,model,seed,seq_len,status,mse,mae,paper_mse,paper_mae,delta_mse,delta_mae,final_batch_size,metric_space,parameters,train_time_s_per_batch,inference_time_s_per_batch,max_gpu_memory_mb,train_gpu_memory_mb,inference_gpu_memory_mb,macs,command_hash,requested_command_hash,config_hash,requested_config_hash,result_file,note
table2_baselines_ETTh1_H96_Amplifier_lite_omitted,table2_baselines,ETTh1,96,Amplifier,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTh1_H96_Autoformer_lite_omitted,table2_baselines,ETTh1,96,Autoformer,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTh1_H96_DLinear_lite_omitted,table2_baselines,ETTh1,96,DLinear,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTh1_H96_FEDformer_lite_omitted,table2_baselines,ETTh1,96,FEDformer,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTh1_H96_FITS_lite_omitted,table2_baselines,ETTh1,96,FITS,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTh1_H96_Informer_lite_omitted,table2_baselines,ETTh1,96,Informer,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTh1_H96_Nonstationary_Transformer_lite_omitted,table2_baselines,ETTh1,96,Nonstationary_Transformer,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTh1_H96_PDF_lite_omitted,table2_baselines,ETTh1,96,PDF,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTh1_H96_PatchMLP_lite_omitted,table2_baselines,ETTh1,96,PatchMLP,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTh1_H96_PatchTST_lite_omitted,table2_baselines,ETTh1,96,PatchTST,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
