task_id,table,dataset,horizon,model,seed,seq_len,status,mse,mae,paper_mse,paper_mae,delta_mse,delta_mae,final_batch_size,metric_space,parameters,train_time_s_per_batch,inference_time_s_per_batch,max_gpu_memory_mb,train_gpu_memory_mb,inference_gpu_memory_mb,macs,command_hash,requested_command_hash,config_hash,requested_config_hash,result_file,note
main_compat_ETTh1_H96_DLinear_reference,main_compat,ETTh1,96,DLinear,,,reference-only,,,,,,,,,,,,,,,,,,,,,No official main script for ETTh1/DLinear; paper row retained for coverage.
main_compat_ETTh1_H96_PatchMLP_s2021,main_compat,ETTh1,96,PatchMLP,2021,,completed,,,,,,,32,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,f3c08bfa26f27eeb,f3c08bfa26f27eeb,4beb8e8d036bdf7d,4beb8e8d036bdf7d,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTh1_H96_PatchMLP_s2021/test_report.1778767575.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.1231.csv,
main_compat_ETTh1_H96_PatchTST_s2021,main_compat,ETTh1,96,PatchTST,2021,,completed,,,,,,,32,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,a7877f3d57e43e53,a7877f3d57e43e53,50625adaa195b069,50625adaa195b069,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTh1_H96_PatchTST_s2021/test_report.1778767582.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.1313.csv,
main_compat_ETTh1_H96_TimeMixer_reference,main_compat,ETTh1,96,TimeMixer,,,reference-only,,,,,,,,,,,,,,,,,,,,,No official main script for ETTh1/TimeMixer; paper row retained for coverage.
main_compat_ETTh1_H96_TimesNet_reference,main_compat,ETTh1,96,TimesNet,,,reference-only,,,,,,,,,,,,,,,,,,,,,No official main script for ETTh1/TimesNet; paper row retained for coverage.
main_compat_ETTh1_H96_iTransformer_reference,main_compat,ETTh1,96,iTransformer,,,reference-only,,,,,,,,,,,,,,,,,,,,,No official main script for ETTh1/iTransformer; paper row retained for coverage.
main_compat_ETTh1_H96_xPatch_s2021,main_compat,ETTh1,96,xPatch,2021,,completed,,,,,,,128,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,ec3e334cb60bdbee,ec3e334cb60bdbee,9c7afbe50b5229e3,9c7afbe50b5229e3,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTh1_H96_xPatch_s2021/test_report.1778774797.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.7040.csv,
main_compat_ETTh1_H192_DLinear_reference,main_compat,ETTh1,192,DLinear,,,reference-only,,,,,,,,,,,,,,,,,,,,,No official main script for ETTh1/DLinear; paper row retained for coverage.
main_compat_ETTh1_H192_PatchMLP_s2021,main_compat,ETTh1,192,PatchMLP,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,acd30283945fde76,acd30283945fde76,886a3a13ab0dd3b8,886a3a13ab0dd3b8,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTh1_H192_PatchMLP_s2021/test_report.1778767518.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.1232.csv,
main_compat_ETTh1_H192_PatchTST_s2021,main_compat,ETTh1,192,PatchTST,2021,,completed,,,,,,,32,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,1077694d56ceac3f,1077694d56ceac3f,5db450be21ef64d4,5db450be21ef64d4,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTh1_H192_PatchTST_s2021/test_report.1778767593.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.1339.csv,
