task_id,table,dataset,horizon,model,seed,seq_len,status,mse,mae,paper_mse,paper_mae,delta_mse,delta_mae,final_batch_size,metric_space,parameters,train_time_s_per_batch,inference_time_s_per_batch,max_gpu_memory_mb,train_gpu_memory_mb,inference_gpu_memory_mb,macs,command_hash,requested_command_hash,config_hash,requested_config_hash,result_file,note
psrs_sweep_combo_lam0_ETTh1_H96_SRSNet_PSRS_HypernetAF_s2021,psrs_sweep_combo_lam0,ETTh1,96,SRSNet_PSRS_HypernetAF,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,15604428aa66aca0,15604428aa66aca0,a1e3987a3717b7a6,a1e3987a3717b7a6,/home/ubuntu/SRSNet/result/repro/psrs-sweep/psrs_sweep_combo_lam0/psrs_sweep_combo_lam0_ETTh1_H96_SRSNet_PSRS_HypernetAF_s2021/test_report.1779201572.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-xvk7h.21702.csv,
psrs_sweep_combo_lam0_ETTh1_H96_SRSNet_PSRS_HypernetAF_s2022,psrs_sweep_combo_lam0,ETTh1,96,SRSNet_PSRS_HypernetAF,2022,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,c80e98644f687990,c80e98644f687990,4b9760282d8f64dd,4b9760282d8f64dd,/home/ubuntu/SRSNet/result/repro/psrs-sweep/psrs_sweep_combo_lam0/psrs_sweep_combo_lam0_ETTh1_H96_SRSNet_PSRS_HypernetAF_s2022/test_report.1779201625.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-xvk7h.21901.csv,
psrs_sweep_combo_lam0_ETTh1_H96_SRSNet_PSRS_HypernetAF_s2023,psrs_sweep_combo_lam0,ETTh1,96,SRSNet_PSRS_HypernetAF,2023,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,9d0c5f08f5cebed5,9d0c5f08f5cebed5,3fe925f3a4ac78ef,3fe925f3a4ac78ef,/home/ubuntu/SRSNet/result/repro/psrs-sweep/psrs_sweep_combo_lam0/psrs_sweep_combo_lam0_ETTh1_H96_SRSNet_PSRS_HypernetAF_s2023/test_report.1779201715.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-xvk7h.22101.csv,
psrs_sweep_combo_lam0_ETTh1_H96_SRSNet_PSRS_HypernetAF_s2024,psrs_sweep_combo_lam0,ETTh1,96,SRSNet_PSRS_HypernetAF,2024,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,f8beb765442ac8f7,f8beb765442ac8f7,4a321a59b7639e4c,4a321a59b7639e4c,/home/ubuntu/SRSNet/result/repro/psrs-sweep/psrs_sweep_combo_lam0/psrs_sweep_combo_lam0_ETTh1_H96_SRSNet_PSRS_HypernetAF_s2024/test_report.1779201770.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-xvk7h.22289.csv,
psrs_sweep_combo_lam0_ETTh1_H96_SRSNet_PSRS_HypernetAF_s2025,psrs_sweep_combo_lam0,ETTh1,96,SRSNet_PSRS_HypernetAF,2025,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,7d41035f19d585b5,7d41035f19d585b5,57d819284a0e4f70,57d819284a0e4f70,/home/ubuntu/SRSNet/result/repro/psrs-sweep/psrs_sweep_combo_lam0/psrs_sweep_combo_lam0_ETTh1_H96_SRSNet_PSRS_HypernetAF_s2025/test_report.1779201820.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-xvk7h.22448.csv,
psrs_sweep_combo_lam0_ETTh1_H720_SRSNet_PSRS_HypernetAF_s2021,psrs_sweep_combo_lam0,ETTh1,720,SRSNet_PSRS_HypernetAF,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,53a61ed3a9100465,53a61ed3a9100465,bea6373db478b41b,bea6373db478b41b,/home/ubuntu/SRSNet/result/repro/psrs-sweep/psrs_sweep_combo_lam0/psrs_sweep_combo_lam0_ETTh1_H720_SRSNet_PSRS_HypernetAF_s2021/test_report.1779201860.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-xvk7h.22613.csv,
psrs_sweep_combo_lam0_ETTh1_H720_SRSNet_PSRS_HypernetAF_s2022,psrs_sweep_combo_lam0,ETTh1,720,SRSNet_PSRS_HypernetAF,2022,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,68f4114587131176,68f4114587131176,ab1d4df1318c699e,ab1d4df1318c699e,/home/ubuntu/SRSNet/result/repro/psrs-sweep/psrs_sweep_combo_lam0/psrs_sweep_combo_lam0_ETTh1_H720_SRSNet_PSRS_HypernetAF_s2022/test_report.1779201899.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-xvk7h.22776.csv,
psrs_sweep_combo_lam0_ETTh1_H720_SRSNet_PSRS_HypernetAF_s2023,psrs_sweep_combo_lam0,ETTh1,720,SRSNet_PSRS_HypernetAF,2023,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,b4f1d81f8099f585,b4f1d81f8099f585,0cab13e1c0e20b9d,0cab13e1c0e20b9d,/home/ubuntu/SRSNet/result/repro/psrs-sweep/psrs_sweep_combo_lam0/psrs_sweep_combo_lam0_ETTh1_H720_SRSNet_PSRS_HypernetAF_s2023/test_report.1779201939.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-xvk7h.22946.csv,
psrs_sweep_combo_lam0_ETTh1_H720_SRSNet_PSRS_HypernetAF_s2024,psrs_sweep_combo_lam0,ETTh1,720,SRSNet_PSRS_HypernetAF,2024,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,665600210ef8bef4,665600210ef8bef4,efcd89fa6bf13297,efcd89fa6bf13297,/home/ubuntu/SRSNet/result/repro/psrs-sweep/psrs_sweep_combo_lam0/psrs_sweep_combo_lam0_ETTh1_H720_SRSNet_PSRS_HypernetAF_s2024/test_report.1779201979.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-xvk7h.23095.csv,
psrs_sweep_combo_lam0_ETTh1_H720_SRSNet_PSRS_HypernetAF_s2025,psrs_sweep_combo_lam0,ETTh1,720,SRSNet_PSRS_HypernetAF,2025,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,328ce22c07d69136,328ce22c07d69136,252956e32bff0127,252956e32bff0127,/home/ubuntu/SRSNet/result/repro/psrs-sweep/psrs_sweep_combo_lam0/psrs_sweep_combo_lam0_ETTh1_H720_SRSNet_PSRS_HypernetAF_s2025/test_report.1779202020.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-xvk7h.23258.csv,
