task_id,table,dataset,horizon,model,seed,seq_len,status,mse,mae,paper_mse,paper_mae,delta_mse,delta_mae,final_batch_size,metric_space,parameters,train_time_s_per_batch,inference_time_s_per_batch,max_gpu_memory_mb,train_gpu_memory_mb,inference_gpu_memory_mb,macs,command_hash,requested_command_hash,config_hash,requested_config_hash,result_file,note
selectivity_controls_ETTh1_H96_SRSNet_s2021,selectivity_controls,ETTh1,96,SRSNet,2021,,completed,,,0.366,0.394,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,a30e13d346b4c14c,a30e13d346b4c14c,8416456685ab7154,8416456685ab7154,/home/ubuntu/SRSNet/result/repro/selectivity-controls/selectivity_controls/selectivity_controls_ETTh1_H96_SRSNet_s2021/test_report.1778918702.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-5llvp.1899.csv,
selectivity_controls_ETTh1_H96_SRSNet_s2022,selectivity_controls,ETTh1,96,SRSNet,2022,,completed,,,0.366,0.394,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,4fbd1bdfb6fd0381,4fbd1bdfb6fd0381,a7681068c2ac67a4,a7681068c2ac67a4,/home/ubuntu/SRSNet/result/repro/selectivity-controls/selectivity_controls/selectivity_controls_ETTh1_H96_SRSNet_s2022/test_report.1778918752.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-5llvp.2078.csv,
selectivity_controls_ETTh1_H96_SRSNet_s2023,selectivity_controls,ETTh1,96,SRSNet,2023,,completed,,,0.366,0.394,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,b106a8bc35f41096,b106a8bc35f41096,3eaf4e97b2578d70,3eaf4e97b2578d70,/home/ubuntu/SRSNet/result/repro/selectivity-controls/selectivity_controls/selectivity_controls_ETTh1_H96_SRSNet_s2023/test_report.1778918810.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-5llvp.2229.csv,
selectivity_controls_ETTh1_H96_SRSNet_s2024,selectivity_controls,ETTh1,96,SRSNet,2024,,completed,,,0.366,0.394,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,7b16a3ffd2c3f17f,7b16a3ffd2c3f17f,b3cd65cbc6f0ca6f,b3cd65cbc6f0ca6f,/home/ubuntu/SRSNet/result/repro/selectivity-controls/selectivity_controls/selectivity_controls_ETTh1_H96_SRSNet_s2024/test_report.1778918863.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-5llvp.2402.csv,
selectivity_controls_ETTh1_H96_SRSNet_s2025,selectivity_controls,ETTh1,96,SRSNet,2025,,completed,,,0.366,0.394,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,dbd04902db5c3b2b,dbd04902db5c3b2b,2d47c7bb76dfd838,2d47c7bb76dfd838,/home/ubuntu/SRSNet/result/repro/selectivity-controls/selectivity_controls/selectivity_controls_ETTh1_H96_SRSNet_s2025/test_report.1778918905.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-5llvp.2568.csv,
selectivity_controls_ETTh1_H96_SRSNet_HypernetAF_s2021,selectivity_controls,ETTh1,96,SRSNet_HypernetAF,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,e1326baa2ebb5565,e1326baa2ebb5565,ae2e7bb4315d03bb,ae2e7bb4315d03bb,/home/ubuntu/SRSNet/result/repro/selectivity-controls/selectivity_controls/selectivity_controls_ETTh1_H96_SRSNet_HypernetAF_s2021/test_report.1778948586.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-nfkn8.896.csv,
selectivity_controls_ETTh1_H96_SRSNet_HypernetAF_s2022,selectivity_controls,ETTh1,96,SRSNet_HypernetAF,2022,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,15c853b92ce9a3b4,15c853b92ce9a3b4,9e0c5fd9b8a55d5c,9e0c5fd9b8a55d5c,/home/ubuntu/SRSNet/result/repro/selectivity-controls/selectivity_controls/selectivity_controls_ETTh1_H96_SRSNet_HypernetAF_s2022/test_report.1778949391.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-nfkn8.3057.csv,
selectivity_controls_ETTh1_H96_SRSNet_HypernetAF_s2023,selectivity_controls,ETTh1,96,SRSNet_HypernetAF,2023,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,12d50c2e89d0fd0b,12d50c2e89d0fd0b,5e591dd25d748fd3,5e591dd25d748fd3,/home/ubuntu/SRSNet/result/repro/selectivity-controls/selectivity_controls/selectivity_controls_ETTh1_H96_SRSNet_HypernetAF_s2023/test_report.1778949447.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-nfkn8.3221.csv,
selectivity_controls_ETTh1_H96_SRSNet_HypernetAF_s2024,selectivity_controls,ETTh1,96,SRSNet_HypernetAF,2024,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,23bf23a2f107e506,23bf23a2f107e506,02cf54daefb38c33,02cf54daefb38c33,/home/ubuntu/SRSNet/result/repro/selectivity-controls/selectivity_controls/selectivity_controls_ETTh1_H96_SRSNet_HypernetAF_s2024/test_report.1778949517.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-nfkn8.3395.csv,
selectivity_controls_ETTh1_H96_SRSNet_HypernetAF_s2025,selectivity_controls,ETTh1,96,SRSNet_HypernetAF,2025,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,2a5d55f7d98e3664,2a5d55f7d98e3664,948d85cddd9eb6e6,948d85cddd9eb6e6,/home/ubuntu/SRSNet/result/repro/selectivity-controls/selectivity_controls/selectivity_controls_ETTh1_H96_SRSNet_HypernetAF_s2025/test_report.1778949567.8e9af4e1-bd59-4abd-bd87-4b870b430c55-5f6cc66cbf-nfkn8.3571.csv,
